id,name,age,gender,language,occupation,annual_income_eur_gross_household,net_wealth_eur_household,income_percentile_be,wealth_percentile_be,income_percentile_expl,wealth_percentile_expl
13,Elise Kowalski,54,Female,Dutch,Software developer,83992,528515,79.0,78.9,"Between p70 (€70,400) and p80 (€85,700)","Between p70 (€405,000) and p80 (€546,500)"
14,Sophie Dupont,72,Female,Dutch,Real estate agent,50124,607373,53.2,82.4,"Between p50 (€47,100) and p60 (€57,300)","Between p80 (€546,500) and p90 (€849,600)"
15,Samir Santos,18,Male,Dutch,Job seeker (recent graduate),6000,396,5.0,1.5,"Below p10 (≤€18,900)","Below p10 (≤€2,800)"
16,Maxime Dupont,26,Male,Dutch,Nurse,41496,95491,44.4,29.7,"Between p40 (€37,600) and p50 (€47,100)","Between p20 (€27,900) and p30 (€99,100)"
17,Marie Janssens,33,Female,Dutch,Accounting clerk,43040,11562,46.0,16.2,"Between p40 (€37,600) and p50 (€47,100)","Between p10 (€2,800) and p20 (€27,900)"
18,Anna Wouters,82,Female,Dutch,Policy advisor,43204,321350,46.2,60.3,"Between p40 (€37,600) and p50 (€47,100)","Between p60 (€318,900) and p70 (€405,000)"
19,Lucas Dubois,43,Male,Dutch,Plumber,50660,180851,53.7,41.9,"Between p50 (€47,100) and p60 (€57,300)","Between p40 (€168,800) and p50 (€242,400)"
20,Milan Nguyen,53,Male,Dutch,Delivery rider,30277,117897,29.8,33.3,"Between p20 (€24,600) and p30 (€30,400)","Between p30 (€99,100) and p40 (€168,800)"
21,Amina Nguyen,34,Female,French,Care home manager,46166,205033,49.1,45.4,"Between p40 (€37,600) and p50 (€47,100)","Between p40 (€168,800) and p50 (€242,400)"
22,Chloé Benali,29,Female,Dutch,University student (part-time),18954,2109,10.1,8.8,"Between p10 (€18,900) and p20 (€24,600)","Below p10 (≤€2,800)"
23,Maxime Smets,32,Male,French,Unemployed (long-term),6000,-53144,5.0,0.1,"Below p10 (≤€18,900)",Negative/zero net wealth (treated as bottom decile)
24,Lucas Peeters,29,Male,French,Civil servant (municipality),53283,194002,56.3,43.8,"Between p50 (€47,100) and p60 (€57,300)","Between p40 (€168,800) and p50 (€242,400)"
25,Julien Smets,37,Male,Dutch,CFO (SME),73077,412792,71.9,70.6,"Between p70 (€70,400) and p80 (€85,700)","Between p70 (€405,000) and p80 (€546,500)"
26,Maxime Benali,20,Male,Dutch,PhD student,6000,-21816,5.0,0.1,"Below p10 (≤€18,900)",Negative/zero net wealth (treated as bottom decile)
27,Thomas De Smet,61,Male,French,Accounting clerk,57757,268294,60.4,53.7,"Between p60 (€57,300) and p70 (€70,400)","Between p50 (€242,400) and p60 (€318,900)"
28,Lucas Nowak,60,Male,Dutch,Firefighter,51790,536087,54.8,79.4,"Between p50 (€47,100) and p60 (€57,300)","Between p70 (€405,000) and p80 (€546,500)"
29,Noor Smets,32,Female,French,CNC operator,43730,169608,46.7,40.1,"Between p40 (€37,600) and p50 (€47,100)","Between p40 (€168,800) and p50 (€242,400)"
30,Khadija Vermeulen,35,Female,French,Homemaker / caregiver,23917,14703,18.9,17.2,"Between p10 (€18,900) and p20 (€24,600)","Between p10 (€2,800) and p20 (€27,900)"
31,Sarah Benali,78,Female,Dutch,Investment advisor,86728,712524,80.4,86.0,"Between p80 (€85,700) and p90 (€115,000)","Between p80 (€546,500) and p90 (€849,600)"
32,Julien Martin,40,Male,French,Real estate agent,77943,645649,75.2,83.8,"Between p70 (€70,400) and p80 (€85,700)","Between p80 (€546,500) and p90 (€849,600)"
33,Omar Kowalski,41,Male,French,Payroll assistant,42188,144826,45.1,37.1,"Between p40 (€37,600) and p50 (€47,100)","Between p30 (€99,100) and p40 (€168,800)"
34,Milan Wouters,38,Male,French,Sales manager,82303,618650,77.9,82.8,"Between p70 (€70,400) and p80 (€85,700)","Between p80 (€546,500) and p90 (€849,600)"
35,Noor Dupont,28,Female,Dutch,Unemployed (long-term),6000,2173,5.0,8.9,"Below p10 (≤€18,900)","Below p10 (≤€2,800)"
36,Hugo Maes,25,Male,French,Accountant,88919,686793,81.3,85.2,"Between p80 (€85,700) and p90 (€115,000)","Between p80 (€546,500) and p90 (€849,600)"
37,Hugo De Smet,63,Male,French,Real estate agent,93109,507330,82.8,77.5,"Between p80 (€85,700) and p90 (€115,000)","Between p70 (€405,000) and p80 (€546,500)"
38,Fatou Dupont,62,Female,French,Payroll assistant,37975,247453,40.4,50.8,"Between p40 (€37,600) and p50 (€47,100)","Between p50 (€242,400) and p60 (€318,900)"
39,Yassine Santos,30,Male,Dutch,HVAC technician,32773,44661,33.5,23.7,"Between p30 (€30,400) and p40 (€37,600)","Between p20 (€27,900) and p30 (€99,100)"
40,Bram Smets,44,Male,Dutch,Real estate agent,79780,541210,76.4,79.7,"Between p70 (€70,400) and p80 (€85,700)","Between p70 (€405,000) and p80 (€546,500)"
41,Jasper De Smet,63,Male,French,Receptionist,49759,276888,52.8,54.8,"Between p50 (€47,100) and p60 (€57,300)","Between p50 (€242,400) and p60 (€318,900)"
42,Lucas Claes,67,Male,Dutch,Retired manager,20588,264419,13.2,53.2,"Between p10 (€18,900) and p20 (€24,600)","Between p50 (€242,400) and p60 (€318,900)"
43,Sophie Benali,38,Female,Dutch,Restaurant owner,78950,367093,75.8,65.9,"Between p70 (€70,400) and p80 (€85,700)","Between p60 (€318,900) and p70 (€405,000)"
44,Yassine Kowalski,26,Male,French,Retired teacher,26294,3405,23.1,10.9,"Between p20 (€24,600) and p30 (€30,400)","Between p10 (€2,800) and p20 (€27,900)"
45,Fatou Lefebvre,60,Female,French,Kitchen helper,26279,118957,23.1,33.4,"Between p20 (€24,600) and p30 (€30,400)","Between p30 (€99,100) and p40 (€168,800)"
46,Laura Lefebvre,61,Female,French,Firefighter,73866,521729,72.4,78.5,"Between p70 (€70,400) and p80 (€85,700)","Between p70 (€405,000) and p80 (€546,500)"
47,Mateo Kowalski,60,Male,French,Police officer,60515,307310,62.7,58.7,"Between p60 (€57,300) and p70 (€70,400)","Between p50 (€242,400) and p60 (€318,900)"
48,Amina Diallo,61,Female,Dutch,Customs officer,60920,329184,63.0,61.3,"Between p60 (€57,300) and p70 (€70,400)","Between p60 (€318,900) and p70 (€405,000)"
49,Julie Nowak,66,Female,Dutch,Retired manager,12113,83168,8.1,28.6,"Below p10 (≤€18,900)","Between p20 (€27,900) and p30 (€99,100)"
50,Chloé Nowak,29,Female,French,Administrative assistant,33704,112166,34.9,32.3,"Between p30 (€30,400) and p40 (€37,600)","Between p30 (€99,100) and p40 (€168,800)"
51,Inès Smets,52,Female,Dutch,Receptionist,41507,182707,44.4,42.2,"Between p40 (€37,600) and p50 (€47,100)","Between p40 (€168,800) and p50 (€242,400)"
52,Yassine Diallo,51,Male,Dutch,Pharmacist,52472,394139,55.5,68.9,"Between p50 (€47,100) and p60 (€57,300)","Between p60 (€318,900) and p70 (€405,000)"
53,Yassine Wouters,33,Male,French,Auditor,73460,245570,72.2,50.5,"Between p70 (€70,400) and p80 (€85,700)","Between p50 (€242,400) and p60 (€318,900)"
54,Marie Lefebvre,27,Female,French,Cleaner,18601,8888,9.9,15.0,"Below p10 (≤€18,900)","Between p10 (€2,800) and p20 (€27,900)"
55,Nora Maes,32,Female,Dutch,Warehouse picker,26240,28168,23.0,20.1,"Between p20 (€24,600) and p30 (€30,400)","Between p20 (€27,900) and p30 (€99,100)"
56,Noor Kowalski,59,Female,Dutch,Data analyst,66401,535836,67.2,79.3,"Between p60 (€57,300) and p70 (€70,400)","Between p70 (€405,000) and p80 (€546,500)"
57,Louis Janssens,69,Male,French,Retired manager,23427,126723,18.1,34.6,"Between p10 (€18,900) and p20 (€24,600)","Between p30 (€99,100) and p40 (€168,800)"
58,Noah Dupont,27,Male,Dutch,Care home manager,49542,232333,52.6,48.8,"Between p50 (€47,100) and p60 (€57,300)","Between p40 (€168,800) and p50 (€242,400)"
59,Fatou Kowalski,81,Female,Dutch,Retired civil servant,19704,88542,11.6,29.1,"Between p10 (€18,900) and p20 (€24,600)","Between p20 (€27,900) and p30 (€99,100)"
60,Thomas Claes,29,Male,French,Primary school teacher,45408,120333,48.4,33.6,"Between p40 (€37,600) and p50 (€47,100)","Between p30 (€99,100) and p40 (€168,800)"
61,Inès Benali,47,Female,French,Car mechanic,37534,250088,39.9,51.1,"Between p30 (€30,400) and p40 (€37,600)","Between p50 (€242,400) and p60 (€318,900)"
62,Louis Diallo,40,Male,French,Civil servant (municipality),57474,237194,60.1,49.4,"Between p60 (€57,300) and p70 (€70,400)","Between p40 (€168,800) and p50 (€242,400)"
63,Lucas Martin,31,Male,French,Dentist (private practice),69910,436384,69.7,72.5,"Between p60 (€57,300) and p70 (€70,400)","Between p70 (€405,000) and p80 (€546,500)"
64,Thomas Smets,27,Male,Dutch,Police officer,67384,272599,67.9,54.3,"Between p60 (€57,300) and p70 (€70,400)","Between p50 (€242,400) and p60 (€318,900)"
65,Samir Nowak,38,Male,French,Kitchen helper,22094,59863,15.9,26.0,"Between p10 (€18,900) and p20 (€24,600)","Between p20 (€27,900) and p30 (€99,100)"
66,Amina Peeters,33,Female,Dutch,Software developer,87040,402566,80.5,69.7,"Between p80 (€85,700) and p90 (€115,000)","Between p60 (€318,900) and p70 (€405,000)"
67,Omar Martin,29,Male,Dutch,Firefighter,45301,243455,48.3,50.2,"Between p40 (€37,600) and p50 (€47,100)","Between p50 (€242,400) and p60 (€318,900)"
68,Julien Nowak,82,Male,Dutch,Retired factory worker,20907,142664,13.8,36.8,"Between p10 (€18,900) and p20 (€24,600)","Between p30 (€99,100) and p40 (€168,800)"
69,Nora Janssens,79,Female,French,Retired small business owner,24022,384091,19.1,67.8,"Between p10 (€18,900) and p20 (€24,600)","Between p60 (€318,900) and p70 (€405,000)"
70,Sophie Vermeulen,39,Female,French,Real estate agent,80878,606867,77.1,82.4,"Between p70 (€70,400) and p80 (€85,700)","Between p80 (€546,500) and p90 (€849,600)"
71,Nicolas Peeters,23,Male,Dutch,University student (part-time),6000,230,5.0,0.1,"Below p10 (≤€18,900)","Below p10 (≤€2,800)"
72,Nora Dupont,24,Female,Dutch,Kitchen helper,11150,-7556,7.7,0.1,"Below p10 (≤€18,900)",Negative/zero net wealth (treated as bottom decile)
73,Fatou Santos,39,Female,French,Language teacher,55433,273426,58.3,54.4,"Between p50 (€47,100) and p60 (€57,300)","Between p50 (€242,400) and p60 (€318,900)"
74,Nicolas Wouters,62,Male,Dutch,Pharmacist,61678,448578,63.6,73.4,"Between p60 (€57,300) and p70 (€70,400)","Between p70 (€405,000) and p80 (€546,500)"
75,Milan Vermeulen,24,Male,Dutch,Administrative assistant,43969,30280,46.9,20.6,"Between p40 (€37,600) and p50 (€47,100)","Between p20 (€27,900) and p30 (€99,100)"
76,Nicolas Kowalski,58,Male,French,Accountant,71899,499861,71.1,77.0,"Between p70 (€70,400) and p80 (€85,700)","Between p70 (€405,000) and p80 (€546,500)"
77,Louis De Smet,20,Male,Dutch,Home care aide,21118,5779,14.2,13.2,"Between p10 (€18,900) and p20 (€24,600)","Between p10 (€2,800) and p20 (€27,900)"
78,Jasper Smets,32,Male,Dutch,Freelance graphic designer,77550,433545,74.9,72.3,"Between p70 (€70,400) and p80 (€85,700)","Between p70 (€405,000) and p80 (€546,500)"
79,Marie Vermeulen,41,Female,Dutch,Language teacher,52526,246474,55.6,50.6,"Between p50 (€47,100) and p60 (€57,300)","Between p50 (€242,400) and p60 (€318,900)"
80,Fatou Nowak,73,Female,French,Retired small business owner,22669,349451,16.9,63.8,"Between p10 (€18,900) and p20 (€24,600)","Between p60 (€318,900) and p70 (€405,000)"
81,Bram Claes,28,Male,Dutch,University lecturer,41459,177425,44.3,41.4,"Between p40 (€37,600) and p50 (€47,100)","Between p40 (€168,800) and p50 (€242,400)"
82,Noor Claes,20,Female,Dutch,PhD student,16813,1031,9.5,5.7,"Below p10 (≤€18,900)","Below p10 (≤€2,800)"
83,Yassine Janssens,26,Male,French,CNC operator,40330,117179,43.1,33.1,"Between p40 (€37,600) and p50 (€47,100)","Between p30 (€99,100) and p40 (€168,800)"
84,Amina De Smet,73,Female,Dutch,Retired civil servant,22008,57474,15.8,25.7,"Between p10 (€18,900) and p20 (€24,600)","Between p20 (€27,900) and p30 (€99,100)"
85,Emma Nowak,25,Female,Dutch,CFO (SME),67194,446458,67.7,73.3,"Between p60 (€57,300) and p70 (€70,400)","Between p70 (€405,000) and p80 (€546,500)"
86,Hugo Peeters,40,Male,Dutch,University lecturer,76946,371410,74.5,66.4,"Between p70 (€70,400) and p80 (€85,700)","Between p60 (€318,900) and p70 (€405,000)"
87,Omar Nguyen,21,Male,Dutch,Job seeker (recent graduate),6000,-19896,5.0,0.1,"Below p10 (≤€18,900)",Negative/zero net wealth (treated as bottom decile)
88,Anna Nguyen,84,Female,French,Retired manager,20036,196157,12.2,44.2,"Between p10 (€18,900) and p20 (€24,600)","Between p40 (€168,800) and p50 (€242,400)"
89,Elise Maes,36,Female,Dutch,Accounting clerk,36491,52181,38.6,24.9,"Between p30 (€30,400) and p40 (€37,600)","Between p20 (€27,900) and p30 (€99,100)"
90,Lucas Wouters,54,Male,Dutch,Policy advisor,54920,430449,57.8,72.0,"Between p50 (€47,100) and p60 (€57,300)","Between p70 (€405,000) and p80 (€546,500)"
91,Elise Lambert,50,Female,Dutch,HVAC technician,46180,256454,49.1,52.1,"Between p40 (€37,600) and p50 (€47,100)","Between p50 (€242,400) and p60 (€318,900)"
92,Julie Claes,64,Female,Dutch,Tech lead,65666,551563,66.6,80.2,"Between p60 (€57,300) and p70 (€70,400)","Between p80 (€546,500) and p90 (€849,600)"
93,Thomas Janssens,59,Male,Dutch,Plumber,34605,218399,36.1,47.1,"Between p30 (€30,400) and p40 (€37,600)","Between p40 (€168,800) and p50 (€242,400)"
94,Emma Dubois,58,Female,Dutch,Bricklayer,41374,167674,44.2,39.9,"Between p40 (€37,600) and p50 (€47,100)","Between p30 (€99,100) and p40 (€168,800)"
95,Khadija Lambert,34,Female,Dutch,School principal,44759,227009,47.7,48.2,"Between p40 (€37,600) and p50 (€47,100)","Between p40 (€168,800) and p50 (€242,400)"
96,Fatou Diallo,34,Female,French,Care home manager,63263,264882,64.8,53.2,"Between p60 (€57,300) and p70 (€70,400)","Between p50 (€242,400) and p60 (€318,900)"
97,Noah Diallo,32,Male,Dutch,Physiotherapist,44974,156664,47.9,38.6,"Between p40 (€37,600) and p50 (€47,100)","Between p30 (€99,100) and p40 (€168,800)"
98,Elise Janssens,54,Female,French,General practitioner,66086,562261,66.9,80.6,"Between p60 (€57,300) and p70 (€70,400)","Between p80 (€546,500) and p90 (€849,600)"
99,Chloé Lambert,36,Female,French,General practitioner,61257,174847,63.2,41.0,"Between p60 (€57,300) and p70 (€70,400)","Between p40 (€168,800) and p50 (€242,400)"
100,Anna Lefebvre,28,Female,Dutch,Sales manager,84041,590328,79.0,81.7,"Between p70 (€70,400) and p80 (€85,700)","Between p80 (€546,500) and p90 (€849,600)"
